,№ гильзы,Температура стали,Частота качания,Ход кристализатора,Скорость разливки,Расход воды,Дельта температуры воды,Расход воды 1,Расход воды 2,Расход воды 3,Стойкость
1,30014134,1571.15,185.5,8.25,2.25,2093.5,9.0,316.5,365.15,128.65,10370.0
2,30013874,1564.7,191.25,11.25,2.25,2103.5,9.0,316.3,381.5,132.5,12615.0
3,30014817,1565.4,200.0,9.0,2.0,2155.0,9.0,310.0,350.0,109.33333333333333,11734.0
4,30014812,1563.9333333333334,206.66666666666666,11.0,2.0,2155.0,9.0,320.0,366.6666666666667,113.33333333333333,13091.0
6,30014142,1570.0666666666666,193.33333333333334,11.4,2.0,2155.0,9.0,284.0,309.3333333333333,108.0,11479.0
7,83895,1564.9714285714285,195.0,10.285714285714286,2.142857142857143,2125.5714285714284,9.0,312.1714285714286,368.0,121.42857142857143,10111.0
8,30014811,1563.7,200.0,11.5,2.0,2155.0,9.0,312.5,350.0,107.5,9993.0
9,83898,1565.0666666666666,200.0,7.0,2.0,2155.0,9.0,300.0,350.0,104.0,1602.0
10,30014811,1568.6,200.0,9.0,2.0,2155.0,9.0,319.6666666666667,350.0,108.0,11111.0
11,30014806,1568.4666666666667,200.0,9.0,2.0,2155.0,9.0,320.0,350.0,107.33333333333333,6584.0
12,30013867,1568.8,186.0,7.0,2.0,2155.0,8.933333333333334,310.0,354.6666666666667,126.66666666666667,10601.0
13,30014810,1565.9,200.0,8.5,2.0,2155.0,9.0,305.0,350.0,107.0,17266.0
14,30013359,1566.8,184.4,8.68,2.16,2122.2,8.92,316.8,350.8,126.0,9319.0
15,30014808,1565.6,200.0,8.2,2.0,2155.0,9.0,302.0,350.0,105.6,16425.0
17,30014144,1571.15,185.5,8.25,2.25,2093.5,9.0,316.5,365.15,128.65,10944.0
18,30014143,1565.9333333333334,200.0,11.0,2.0,2154.6666666666665,9.0,311.3333333333333,358.6666666666667,111.33333333333333,12032.0
19,30014804,1564.65,200.0,11.5,2.0,2155.0,9.0,312.5,350.0,107.5,12576.0
21,30014141,1571.15,185.5,8.25,2.25,2093.5,9.0,316.5,365.15,128.65,10434.0
22,30013873,1564.65,200.0,10.0,2.0,2154.75,9.0,311.5,364.0,111.0,13971.0
23,30014821,1563.7,200.0,10.0,2.0,2155.0,9.0,305.0,350.0,107.5,11571.0
24,30014814,1568.6,200.0,7.0,2.0,2155.0,9.0,320.0,350.0,106.66666666666667,9006.0
26,30014136,1570.0666666666666,194.0,12.6,2.0,2155.0,9.0,285.3333333333333,310.0,100.0,10452.0
27,83894,1563.92,193.0,10.4,2.2,2113.8,9.0,315.44,381.2,128.0,8462.0
29,30014807,1563.2666666666667,200.0,11.0,2.0,2155.0,9.0,310.0,350.0,106.66666666666667,11817.0
30,30013875,1569.4666666666667,194.66666666666666,10.8,2.0,2155.0,9.0,296.3333333333333,328.6666666666667,109.0,12040.0
31,83897,1563.6,182.5,12.5,2.5,2052.5,9.0,323.6,404.0,155.0,5376.0
32,30014803,1565.0,200.0,10.0,2.0,2155.0,9.0,320.0,350.0,109.0,9785.0
34,30013363,1571.7333333333333,179.33333333333334,8.4,2.466666666666667,2045.6666666666667,8.466666666666667,306.0,362.0,136.66666666666666,4422.0
35,30013871,1563.92,193.0,10.4,2.2,2113.8,9.0,315.44,381.2,128.0,13270.0
37,83896,1563.6,182.5,12.5,2.5,2052.5,9.0,323.6,404.0,155.0,9192.0
38,30014802,1565.25,200.0,10.0,2.0,2154.75,9.0,308.5,353.0,107.5,2135.0
39,30014816,1562.55,200.0,8.5,2.0,2155.0,9.0,305.0,333.0,105.5,13750.0
42,30013872,1571.15,185.5,8.25,2.25,2093.5,9.0,316.5,365.15,128.65,2270.0
43,30013876,1567.4666666666667,191.66666666666666,10.4,2.2,2114.0,9.0,315.3333333333333,354.6666666666667,121.33333333333333,12009.0
44,30014809,1566.9,200.0,10.0,2.0,2155.0,9.0,305.0,350.0,105.0,11234.0
45,30014825,1568.4666666666667,200.0,9.0,2.0,2155.0,9.0,320.0,350.0,107.33333333333333,10424.0
